,particle,velocity,orientation
0,0,0.9000001376660837,0.14650640769131787
1,1,1.523669386177747,0.19170665073128432
2,2,1.3132554594274357,0.054653162992907976
3,3,0.6966858816745973,0.013499522555681393
4,4,0.428878211019847,0.010593912970316666
5,5,1.8198362759102278,0.0703370067761438
6,6,0.939983036401317,0.05496727056744281
7,7,0.6196380545478359,0.016396147934270383
8,9,0.4065482261707011,0.2505339282478877
9,10,0.1320211005955567,0.004758692451795609
10,11,0.6432655109397769,0.06247264057806125
11,12,0.6528536372586485,0.015605597062770852
12,13,0.1319717978316584,0.0036717573275811617
13,15,0.9254699088302921,0.060740331391231236
14,16,0.9251492584688725,0.1415993351650959
15,17,0.8222757552285064,0.1411643240787899
16,20,1.5132124182834712,0.12321077406857356
17,21,0.8311256096271538,0.06632948799632099
18,23,0.2835062830086415,0.006672723031814114
19,25,0.3504888975782553,0.008864514419951211
20,26,0.18391629438381338,0.005104298694731216
21,27,0.5044412932740027,0.014643427636054033
22,30,0.7416811867260389,0.043582457223903824
23,31,0.8625438383296294,0.023380790848843272
24,32,0.19316336182760416,0.007251915889335078
25,33,0.22018718431974377,0.005678566520417525
26,34,0.3880066234747161,0.0062279275712314106
27,36,0.15885854792913706,0.0051579034280743955
28,37,0.31136453419156074,0.01267109107779928
29,41,1.0383715032436265,0.16036387098028676
30,42,0.5227336632214457,0.03869295333640514
31,44,0.8749780274363691,0.039092573339552565
32,45,0.16140235750834375,0.003611652284935078
33,46,0.943382997226313,0.02801315019469956
34,47,0.8666988497859472,0.08163091882461816
35,48,0.9232984371156556,0.10372229630144361
36,49,1.001041566776452,0.1434293122091487
37,50,0.6716076485081204,0.013139381393991324
38,51,0.20276098267929488,0.006063350607716195
39,52,0.6945483041897667,0.015267516470034733
40,53,0.8463019686113848,0.030921011519154037
41,54,0.680605794290032,0.02268441909655909
42,58,0.9564343912593558,0.026564325830913223
43,59,0.7039448483068271,0.019499044838718466
44,61,1.1982047930407624,0.04073289702335174
45,63,0.24037652378227334,0.019311395129689327
46,64,0.6344484772770598,0.02192018729016562
47,66,2.739540210235151,0.05458525506214712
48,67,0.44385181762623643,0.010341480680129923
49,69,0.7542057231446376,0.01603397911046174
50,71,1.2135554428642517,0.048369832326953806
51,72,1.2990900762869197,0.07904604310839218
52,73,1.3415660854720763,0.1365830125727405
53,74,0.4929285218563125,0.018161750469170346
54,75,0.771538634547379,0.01837657236893527
55,76,0.4220368375887758,0.16288270220606632
56,77,0.7351222038161346,0.023274274643771915
57,78,0.801270819031634,0.027513750213044915
58,80,0.5070034987363314,0.011016432994375264
59,81,0.6067647247159657,0.012493479344106283
60,82,0.790605896091094,0.09659377100591
61,83,0.49359966623338736,0.01196796120532532
62,84,0.4760252183803247,0.041879472299735696
63,85,0.7399238926387525,0.02162901526096651
64,86,0.8959613929646115,0.049432853877249466
65,87,1.2037198035910202,0.02298251307333524
66,88,1.0042723937301339,0.18800826577571172
67,89,1.2559149711418092,0.06747189370047876
68,90,0.38043637083766496,0.01667448084122065
69,91,1.6337030625643518,0.08184233494725027
70,92,0.21687230911647143,0.138328361967734
71,93,0.9451597267931283,0.026156068549123966
72,94,1.2264885177094447,0.02092528203086991
73,95,0.3932359144270131,0.007525665784847098
74,96,0.6985506600863444,0.019504183673284284
75,97,1.2214571441147057,0.03968313811440657
76,100,0.6442338021859583,0.020207891042619722
77,101,0.9976570128997555,0.023321636907533496
78,102,1.020099529459157,0.04162569571833862
79,103,1.0424976319693315,0.027768298047248327
80,104,0.6808708668623293,0.05939817807201255
81,105,0.7218027466241576,0.07533339900919545
82,106,1.083017074502957,0.03624390957957163
83,107,0.7531858816354672,0.017214463494089713
84,108,0.7080503951115298,0.03489094460639323
85,109,0.6684017000592797,0.12013749957154488
86,111,0.9277766732207154,0.03082664291726137
87,112,1.2899050340324332,0.0545108599201293
88,116,0.579763320773208,0.018567921356832065
89,118,0.5177122584289306,0.017230371080292853
90,119,0.2642849821003768,0.07411648138897146
91,120,0.7424783917408088,0.022829215769757664
92,122,1.2393128272380838,0.07085902605211827
93,160,0.9132955355984096,0.02447643059481224
94,181,1.0400827719776773,0.04459371445866788
95,183,1.1131423988519848,0.032658250671243255
96,218,1.2383857145301242,0.03656287888033623
97,220,1.3506686248800264,0.05876850010905364
98,248,2.3203570995094047,0.08163668709722734
99,264,1.1671402127883577,0.019631832972953584
100,265,0.6068775639690509,1.014078736945125
101,273,0.5107609447325223,0.011251468482401708
102,308,0.5210484536816314,0.010833710156401308
103,324,0.7751556385707289,0.01836536980298836
104,325,0.5228382341539075,0.014323959482393865
105,355,1.379659774436973,0.04541443282876552
106,364,0.19767394519159856,0.0035909484018899996
107,377,0.19885394201287102,0.004088195983242551
108,378,0.277383380083917,0.014191111190464147
109,381,0.358460963642045,0.00945325539122004
110,411,0.18618490259126388,0.00489292129074226
111,502,0.5157006940755821,0.013427880542885325
112,503,0.7417758275425634,0.016461246383391165
113,532,1.2467187835846918,0.023312201807348342
114,537,2.0886474490103155,0.03706059067184377
115,545,1.7057606482956533,0.07876375082955826
116,562,0.5042456810205339,0.01771836545414125
117,576,1.3671559763163976,0.02813541497429153
118,578,1.5961854293282818,0.09890682732788815
119,694,0.7627095958776708,0.017868875490083962
120,695,2.29825101463617,0.15716759004917125
121,724,0.17846435640900143,0.004573032299894225
122,731,0.17416422494175857,0.0031790439343893306
123,741,0.4155485357333711,0.015623427625915213
124,838,1.328930033967573,0.07996329341177053
125,840,1.3335047561035942,0.03882449373110758
126,846,0.9234204451253699,0.019664411571485477
