,particle,velocity,orientation
0,61,1.4902898920277763,0.05249522903544491
1,103,1.8508057138007754,0.05859019637001072
2,108,1.171990351693924,0.06681891619340515
3,120,2.339302131697006,0.07311372121132706
4,125,1.6104179577695452,0.07852140362279802
5,143,1.2590438274314453,0.11929992528385515
6,158,1.7348291482330005,1.2508673402897819
7,200,2.3500575938731343,1.0616546589627376
8,211,1.7022486509886707,0.04812340502588193
9,213,1.5977365951902784,0.25259795152315373
10,227,1.28323297148969,0.27903302492681953
11,247,1.8238365658850313,0.26816486002368967
12,256,1.9428733577739123,0.07075978267162117
13,287,2.2886127203865763,0.25323892771401174
14,299,2.045451926977426,0.055708631141845225
15,312,2.1953751755260074,0.3377499629008669
16,330,1.7351036202026615,0.0759734776084611
17,357,2.315712747160702,0.15460879072018702
18,371,1.7631911633716433,0.06697739725003858
19,376,1.5043038107975846,2.396232092263011
20,427,0.5337373473289551,0.03901377366328556
21,430,1.7884382472304932,0.975402231872307
22,437,2.669220189298128,0.12848823523222663
23,447,1.9326569360960544,0.07093530128047161
24,510,1.6545538011859775,0.14952201369286894
25,529,1.9705126896030691,0.03568537463135094
26,668,2.4123287049750357,0.07516261509104294
27,673,0.8485494810381123,0.0211853674522609
28,724,2.2607093017027946,0.07313086544926115
29,749,0.6608070609932774,0.017780096389096375
30,786,2.5001073016454383,0.19065808798937187
31,844,1.9167005092980616,0.027232361258919154
32,881,1.8798047156804738,0.7157288173942188
33,943,2.058044850889784,0.08100226358997839
34,954,1.8135692883276207,0.11787776630860612
35,1016,1.8642840115493098,0.05922866658070804
36,1077,2.3396620516146927,0.07794454041832036
37,1110,2.388798487410789,0.0723952254347112
38,1194,1.721362463770294,0.09782240045323529
39,1195,1.369914965311003,0.9158539833873715
40,1229,2.2561562440585643,0.10876347405265406
41,1253,2.3737313408904797,0.17888618515416801
42,1264,1.735650059347499,0.07103082020377124
43,1303,1.4566686443596815,0.05993313369405272
44,1310,2.2990449671769433,0.10027060036443812
45,1324,2.3727850498211804,0.16484353962965198
46,1334,2.1113781594881944,0.9210586119247096
47,1357,2.096447362766815,0.055499049247413654
48,1467,0.8311969165278373,0.10290131330754557
49,1471,1.4756414349743914,0.058160329351634316
50,1476,1.9645260086284233,0.06877813252015877
51,1521,1.9841988725912794,0.11051126811915456
52,1527,1.653227448533462,0.17941251944608538
53,1529,1.6827148650925516,0.07709391524563641
54,1539,1.5131383223789752,0.5826525320772442
55,1540,1.371648442772617,0.13030774837375472
56,1550,1.5207160279212095,0.13340621209609962
57,1553,1.6148189097945969,0.18097502552136024
58,1566,1.7624801015037805,0.1980886970030173
59,1580,1.7911818747718318,0.11836653619234837
60,1588,0.43060999707469516,0.03571502161287153
61,1597,2.009376881627661,0.08185307357372094
62,1626,0.450759817644645,0.10999663071516162
63,1640,1.5734461266833852,0.05456859461917018
64,1642,1.7802498847262167,0.06761654014530667
65,1647,1.3419065245022783,0.06729385657838097
66,1719,1.4938137266341496,0.34651428546756197
67,1746,1.879559300042269,0.3155086363988608
68,1826,0.447499453316604,0.004696423701536719
69,1863,0.475350164622146,0.017250038573239247
70,1903,1.706936349525954,0.11180011741731445
71,1913,1.3140927902722999,0.046271954354257766
72,1944,2.037893422239966,0.08188122686534341
73,1963,2.0692855290930003,0.1269488322616373
74,2000,1.6780893578362568,0.06424001038381881
75,2055,1.6233406772437968,0.06867711586644361
76,2061,2.3616571292884005,0.1340127299680982
77,2067,1.940934381377164,0.22340916946188635
78,2071,1.5312333195329517,0.10366552217221389
79,2075,1.9057175532129524,0.1471920426668961
80,2097,1.4015971151119349,0.06183634285931797
81,2134,0.90973686280498,0.06829146056261827
82,2215,0.6889720024146316,0.04252574558946763
83,2221,2.040654600568557,0.08309551852393407
84,2224,1.4260140129613181,0.06254028828846869
85,2257,0.9934180330984481,0.5898381592640657
86,2371,1.7082705680381698,0.06276000385948254
87,2395,1.7879772290597442,0.11068904454848029
88,2418,2.524690174097679,0.08148319505452595
89,2422,1.527833005595644,0.07903992920572481
90,2461,2.072679773366762,0.0801511119885988
91,2474,2.008722693079649,0.1317106816417722
92,2619,0.6584117009077226,0.1265054277363664
93,2620,1.8897520874448446,0.08110311795715516
94,2664,2.7180209009365064,0.1707785035086727
95,2697,1.8075818618114374,0.06802698590319783
96,2718,1.0231467720081242,0.047101415004609376
97,2723,1.6439907464679817,0.06710724035495354
98,2728,2.000559538474092,0.07259882180904434
99,2754,2.090754850604967,0.10574983607404731
100,2782,1.843529724231914,0.07032271413578327
101,2821,2.0208688069571465,0.09085904552924978
102,2864,1.6576994795471585,0.11571869014270608
103,2870,1.637000206499155,0.13241273852979416
104,2871,1.6493679302992146,0.07049254192516669
105,2874,2.6168247914045875,0.14442279618560946
106,2875,0.4544327077108735,0.006862496977043266
107,2878,0.7502969141046676,0.005366076970388742
108,2880,2.0060863874737445,0.06948461325252156
109,2925,1.9443320806925652,0.1677315866200932
110,2936,1.4486453092725724,0.0711599342771563
111,2981,2.11957620006905,0.14207793967885252
112,3020,0.6564038160923107,0.11785018343170081
113,3037,1.817246032010836,0.05590520145889445
114,3055,1.41316506853785,0.14208957073569134
115,3057,2.190931652292604,0.11442792411287273
116,3059,2.058449462433315,0.03858272351370265
117,3063,1.774189815136683,0.09220035122886411
118,3068,0.6823508448179963,0.030419887230043286
119,3085,2.0486186382828615,0.09347817475982834
120,3089,2.102335937938955,0.11009352334169971
121,3094,1.8526149438354826,0.17426785650395918
122,3103,1.613015455913208,0.1588890088172632
123,3135,1.229871863652789,0.09813542382717344
