 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
123,2181,124.949,13.900,122,81,169,179.581,63.904,43.455,92.601,0.850,65.924,272514,124,0.258,0.219,272514,190,58,230,80.395,44.000,1.471,0.680,0.962
124,1915,124.905,17.695,125,69,165,172.510,60.467,40.324,94.742,0.809,61.814,239193,125,-0.057,-0.315,239193,192,62,134,99.310,42.431,1.500,0.667,0.955
125,1995,126.794,18.690,122,76,176,172.167,52.079,48.774,96.551,0.846,54.589,252955,126,-0.089,-0.478,252955,195,52,96,61.557,50.286,1.068,0.937,0.939
126,4394,125.303,18.815,125,64,178,272.593,99.210,56.391,88.051,0.743,99.504,550583,124,0.114,-0.125,550583,196,59,85,95.768,60.000,1.759,0.568,0.956
127,2279,124.896,14.872,131,75,167,190.752,70.935,40.907,88.024,0.787,72.173,284639,124,0.089,-0.058,284639,198,63,228,86.028,42.000,1.734,0.577,0.958
128,2355,126.498,16.825,126,77,169,189.480,64.864,46.227,93.507,0.824,66.753,297903,124,0.423,-0.282,297903,200,62,63,98.616,48.590,1.403,0.713,0.954
129,2764,127.681,13.890,131,69,163,212.995,81.122,43.382,90.449,0.766,82.219,352911,128,-0.277,0.187,352911,201,60,35,94.185,44.845,1.870,0.535,0.964
130,3061,126.035,12.820,129,74,161,229.480,89.144,43.720,89.488,0.730,89.560,385793,126,-0.135,0.323,385793,202,64,104,96.411,45.971,2.039,0.490,0.964
131,2333,125.300,13.690,122,86,163,189.338,69.523,42.726,89.830,0.818,70.257,292325,124,0.373,-0.090,292325,203,64,148,94.899,43.000,1.627,0.615,0.966
132,1918,124.747,15.395,120,85,168,169.196,61.424,39.758,90.213,0.842,61.814,239265,123,0.166,-0.589,239265,204,60,140,99.310,40.000,1.545,0.647,0.965
133,2189,126.505,18.237,130,74,172,181.823,61.610,45.238,93.843,0.832,64.630,276920,128,-0.247,-0.405,276920,205,57,146,81.995,47.000,1.362,0.734,0.958
134,4558,126.440,17.611,121,74,181,294.250,113.985,50.914,92.181,0.662,111.364,576314,125,0.084,-0.247,576314,207,57,170,85.365,54.676,2.239,0.447,0.920
135,2144,126.278,19.641,128,74,169,180.995,62.058,43.989,94.994,0.822,63.198,270739,126,0.014,-0.561,270739,208,61,147,85.462,46.000,1.411,0.709,0.955
136,3080,124.845,19.044,126,57,169,230.451,80.336,48.815,89.957,0.729,83.487,384522,125,-0.272,0.122,384522,209,65,162,96.189,52.608,1.646,0.608,0.936
137,2396,127.193,15.962,126,75,168,199.338,77.855,39.184,90.825,0.758,78.638,304754,126,-0.001,-0.020,304754,212,57,22,97.306,40.000,1.987,0.503,0.958
138,2320,126.962,16.008,126,87,172,189.823,67.479,43.775,88.395,0.809,69.462,294551,125,0.377,-0.249,294551,214,58,115,83.387,44.439,1.541,0.649,0.957
139,3238,124.414,18.568,121,69,168,229.480,83.560,49.339,93.089,0.773,83.546,402852,124,-0.058,-0.445,402852,215,58,163,101.041,51.547,1.694,0.590,0.952
140,1968,124.938,14.732,126,86,168,174.853,63.528,39.443,95.157,0.809,64.938,245877,125,0.123,-0.222,245877,219,63,151,99.752,40.683,1.611,0.621,0.960
141,4706,127.713,16.697,131,68,172,263.664,90.346,66.321,87.975,0.851,94.202,601017,127,0.084,0.179,601017,222,55,150,80.838,67.205,1.362,0.734,0.967
142,1806,126.194,15.557,126,81,165,164.024,57.433,40.037,90.268,0.844,58.052,227906,126,0.092,-0.445,227906,223,60,158,79.077,41.000,1.434,0.697,0.963
143,8506,126.790,14.895,123,73,172,424.233,169.214,64.003,90.798,0.594,167.672,1078474,126,0.211,0.140,1078474,224,55,250,84.867,68.697,2.644,0.378,0.915
144,2042,125.137,14.690,127,71,165,182.125,70.370,36.947,90.896,0.774,68.731,255529,125,-0.001,0.295,255529,226,59,120,98.366,38.000,1.905,0.525,0.956
145,2302,126.969,17.908,131,80,166,184.267,65.937,44.451,88.409,0.852,66.098,292282,126,0.112,-0.733,292282,228,55,90,79.540,45.000,1.483,0.674,0.967
146,2474,126.762,14.588,129,62,163,203.581,76.900,40.962,94.837,0.750,77.318,313609,129,-0.800,1.209,313609,229,59,88,95.194,42.930,1.877,0.533,0.948
147,1649,123.392,23.697,118,52,179,157.924,48.037,43.707,97.780,0.831,50.596,203473,121,-0.153,-0.684,203473,230,55,207,71.565,44.700,1.099,0.910,0.945
