 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
255,1777,102.526,11.652,104,65,142,162.267,57.625,39.263,90.382,0.848,58.215,182188.000,103,-0.204,-0.080,182188.000,397,59,83,94.927,39.000,1.468,0.681,0.967
256,1686,102.243,10.208,107,56,135,158.853,55.559,38.638,91.984,0.840,56.436,172381.000,103,-0.463,0.538,172381.000,400,62,187,97.125,39.598,1.438,0.695,0.962
257,1693,103.340,9.912,109,64,130,158.610,55.364,38.935,91.768,0.846,56.045,174955.000,104,-0.471,0.314,174955.000,401,56,23,105.524,40.000,1.422,0.703,0.961
258,2081,104.268,10.029,112,63,133,187.095,67.989,38.971,91.936,0.747,72.443,216982.000,105,-0.501,0.178,216982.000,402,57,10,96.340,40.000,1.745,0.573,0.959
259,3294,103.628,11.028,106,47,138,230.652,88.534,47.372,91.410,0.778,88.278,341352.000,106,-0.846,1.296,341352.000,403,56,79,94.548,47.878,1.869,0.535,0.970
260,2449,103.033,10.107,106,58,130,194.167,67.690,46.065,89.541,0.816,67.742,252327.000,104,-0.589,0.846,252327.000,404,58,108,98.489,46.000,1.469,0.681,0.956
261,1806,100.283,11.537,106,58,130,165.196,60.739,37.858,89.963,0.832,61.205,181112.000,103,-0.951,0.937,181112.000,409,57,194,85.314,38.000,1.604,0.623,0.966
262,3341,103.551,12.127,108,56,140,216.066,73.508,57.870,87.149,0.899,73.763,345963.000,105,-0.609,0.628,345963.000,412,49,144,74.268,58.000,1.270,0.787,0.977
263,2162,104.313,9.749,108,73,144,181.095,66.231,41.563,91.844,0.828,67.268,225524.000,105,-0.220,0.175,225524.000,413,58,52,95.117,42.000,1.594,0.628,0.968
264,1561,99.441,10.935,106,62,129,152.024,53.528,37.131,94.045,0.849,54.452,155227.000,101,-0.534,-0.043,155227.000,414,55,171,97.386,38.000,1.442,0.694,0.961
265,1567,100.484,10.808,106,61,127,149.782,52.689,37.867,95.061,0.878,53.759,157458.000,102,-0.573,-0.105,157458.000,415,52,17,99.638,38.000,1.391,0.719,0.966
266,1794,102.831,8.255,106,62,126,159.539,56.350,40.536,93.204,0.886,56.515,184478.000,104,-0.555,0.800,184478.000,415,58,117,103.299,40.000,1.390,0.719,0.972
267,3589,103.977,9.634,106,61,129,229.480,83.312,54.850,89.637,0.856,83.487,373175.000,106,-0.824,0.725,373175.000,416,54,176,83.811,54.000,1.519,0.658,0.978
268,2399,103.563,10.361,106,72,142,200.066,67.947,44.954,90.180,0.753,74.243,248447.000,104,-0.138,0.251,248447.000,417,61,102,94.635,46.000,1.511,0.662,0.943
269,1695,99.991,10.847,104,62,131,158.610,56.858,37.957,90.825,0.847,57.428,169484.000,101,-0.460,0.163,169484.000,421,60,130,97.001,38.000,1.498,0.668,0.963
270,1420,99.667,12.959,102,60,134,142.368,48.286,37.443,91.040,0.880,49.366,141527.000,102,-0.570,-0.207,141527.000,423,60,69,96.981,38.000,1.290,0.775,0.962
271,5359,104.719,10.460,108,57,143,384.090,150.191,45.431,91.496,0.456,143.056,561188.000,106,-0.493,0.670,561188.000,424,55,85,91.602,51.958,3.306,0.302,0.825
272,3435,103.256,9.541,108,62,130,279.421,113.432,38.557,91.425,0.553,108.074,354683.000,104,-0.560,0.457,354683.000,427,58,143,92.121,41.261,2.942,0.340,0.870
273,2486,103.134,9.837,102,71,134,198.167,66.173,47.833,92.593,0.796,71.701,256390.000,104,-0.228,7.055E-5,256390.000,429,56,162,98.017,48.000,1.383,0.723,0.954
274,2368,103.992,9.384,104,71,131,184.510,61.199,49.266,87.142,0.874,62.370,246252.000,105,-0.339,-0.004,246252.000,430,50,73,77.969,49.000,1.242,0.805,0.968
275,4507,104.942,9.058,107,64,142,258.108,89.405,64.185,87.229,0.850,90.272,472975.000,106,-0.459,0.777,472975.000,431,57,229,85.553,65.503,1.393,0.718,0.970
276,3610,104.846,12.667,106,57,142,250.693,92.513,49.684,89.268,0.722,96.255,378494.000,105,-0.327,0.167,378494.000,433,55,84,94.170,52.244,1.862,0.537,0.943
277,1760,101.082,10.927,96,54,142,161.681,58.131,38.549,88.133,0.846,59.414,177904.000,102,-0.464,1.341,177904.000,436,58,190,96.766,39.000,1.508,0.663,0.962
278,1782,102.366,10.456,107,62,141,161.439,57.623,39.375,87.314,0.859,59.304,182416.000,103,-0.405,1.122,182416.000,437,56,26,95.807,39.000,1.463,0.683,0.966
279,2599,103.501,9.873,107,68,132,195.924,70.012,47.266,87.863,0.851,70.214,268999.000,105,-0.713,0.529,268999.000,438,50,145,79.330,47.000,1.481,0.675,0.975
280,2932,104.075,9.591,106,64,131,210.995,77.360,48.257,88.867,0.828,77.647,305147.000,105,-0.657,0.468,305147.000,442,53,164,82.600,48.000,1.603,0.624,0.971
281,1977,102.129,9.323,106,71,128,170.610,62.056,40.563,92.411,0.854,62.514,201910.000,103,-0.203,-0.008,201910.000,443,55,111,97.352,40.000,1.530,0.654,0.969
282,2385,103.289,10.263,106,70,134,188.267,68.101,44.591,93.580,0.846,67.897,246344.000,104,-0.443,0.044,246344.000,444,53,222,80.676,44.714,1.527,0.655,0.971
283,1906,103.236,13.144,106,60,137,177.924,61.677,39.347,93.782,0.757,65.253,196767.000,104,-0.316,-0.123,196767.000,446,52,116,105.101,42.074,1.568,0.638,0.939
284,1903,103.163,12.514,104,55,138,170.510,60.392,40.121,89.676,0.823,62.129,196319.000,104,-0.472,0.725,196319.000,447,60,107,93.691,40.000,1.505,0.664,0.958
