 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
193,2894,100.391,11.839,106,56,133,208.551,75.613,48.732,89.809,0.836,77.782,290532,102,-0.613,0.123,290532,279,57,229,81.870,50.000,1.552,0.644,0.973
194,1655,99.714,9.686,103,66,123,155.539,55.454,37.999,91.041,0.860,55.579,165027,101,-0.748,0.551,165027,281,59,205,81.724,38.000,1.459,0.685,0.967
195,1721,100.250,9.815,106,53,123,161.095,57.878,37.859,90.609,0.833,59.304,172530,101,-0.960,1.500,172530,284,64,158,95.807,39.000,1.529,0.654,0.962
196,1968,100.764,8.720,106,63,124,175.095,64.771,38.686,86.458,0.807,66.483,198304,102,-0.563,0.501,198304,286,58,225,83.089,39.949,1.674,0.597,0.963
197,3080,101.343,10.405,106,65,136,211.823,74.044,52.963,90.159,0.863,74.169,312136,102,-0.548,0.268,312136,287,61,154,86.135,53.000,1.398,0.715,0.971
198,1809,100.765,11.280,106,65,126,162.610,55.946,41.170,88.226,0.860,56.321,182283,103,-0.678,0.064,182283,288,71,121,96.116,41.000,1.359,0.736,0.965
199,2074,101.860,9.493,103,71,131,177.095,64.845,40.723,92.942,0.831,66.189,211257,103,-0.407,0.225,211257,289,64,71,94.332,41.000,1.592,0.628,0.967
200,3511,101.260,10.238,106,62,138,296.735,121.452,36.807,90.976,0.501,115.434,355523,103,-0.670,0.618,355523,290,61,78,94.970,41.000,3.300,0.303,0.844
201,1704,99.103,8.935,98,70,127,157.782,56.946,38.099,90.342,0.860,57.219,168872,100,-0.519,0.305,168872,292,64,134,95.013,38.000,1.495,0.669,0.965
202,2265,101.573,10.449,106,52,134,187.095,66.734,43.215,90.344,0.813,66.287,230062,103,-0.587,0.805,230062,293,58,185,78.690,43.000,1.544,0.648,0.959
203,2201,99.558,10.507,106,61,134,179.924,62.525,44.820,89.261,0.854,63.285,219128,101,-0.702,0.442,219128,294,57,226,84.560,45.000,1.395,0.717,0.968
204,2214,100.927,10.365,106,63,131,179.095,62.134,45.369,87.982,0.867,62.514,223452,103,-0.695,0.444,223452,295,58,70,82.648,46.000,1.370,0.730,0.967
205,2288,101.350,10.919,106,59,134,185.924,67.869,42.924,91.982,0.832,68.469,231889,103,-0.718,0.662,231889,296,61,58,96.710,43.982,1.581,0.632,0.967
206,2244,100.924,9.804,104,63,142,180.024,62.844,45.464,87.887,0.870,62.968,226473,101,0.146,1.205,226473,297,56,232,79.939,45.000,1.382,0.723,0.973
207,2297,102.604,9.616,106,66,129,187.095,68.618,42.622,89.529,0.825,68.884,235681,104,-0.591,0.293,235681,298,59,143,80.811,43.000,1.610,0.621,0.966
208,2470,100.623,11.511,106,54,126,193.823,70.187,44.807,88.797,0.826,72.339,248540.000,102,-0.679,0.424,248540.000,299,57,159,84.447,45.000,1.566,0.638,0.969
209,2814,102.921,9.462,106,68,136,220.652,85.145,42.080,93.220,0.726,86.284,289620,104,-0.322,0.403,289620,300,58,69,94.653,41.832,2.023,0.494,0.947
210,3024,102.618,9.019,106,67,127,211.238,74.370,51.772,88.750,0.852,75.425,310317,104,-0.770,0.899,310317,301,62,89,96.089,52.000,1.436,0.696,0.971
211,2126,100.571,9.899,106,67,129,181.095,66.111,40.945,92.294,0.815,66.370,213813,101,-0.293,-0.030,213813,302,57,124,96.054,41.000,1.615,0.619,0.965
212,2413,103.337,9.378,106,60,134,197.723,69.669,44.099,87.590,0.776,72.173,249351,104,-0.612,0.794,249351,303,56,43,93.972,46.000,1.580,0.633,0.958
213,1968,101.711,9.679,106,69,134,174.267,65.321,38.360,91.140,0.814,65.620,200167,103,-0.442,0.164,200167,304,64,97,97.883,39.000,1.703,0.587,0.967
214,1854,100.811,9.575,103,66,132,173.924,63.203,37.349,91.783,0.770,67.742,186903,102,-0.520,0.590,186903,305,59,136,98.489,38.000,1.692,0.591,0.960
