 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
137,2414,118.199,15.356,123,57,160,199.338,74.337,41.347,90.530,0.763,74.330,285333,121,-0.780,0.866,285333,209,59,239,84.596,42.436,1.798,0.556,0.954
138,2002,122.591,12.897,126,75,167,186.853,73.178,34.833,90.678,0.721,73.437,245427,124,-0.378,0.732,245427,212,56,98,83.746,37.000,2.101,0.476,0.948
139,1920,121.587,11.391,126,87,153,170.610,63.492,38.503,89.284,0.829,63.640,233447,123,-0.242,-0.062,233447,214,58,111,81.870,39.000,1.649,0.606,0.968
140,2607,118.594,15.250,121,69,163,207.924,78.160,42.469,92.082,0.758,78.518,309174,120,-0.269,-0.051,309174,215,63,242,83.418,44.000,1.840,0.543,0.958
141,1630,120.390,11.372,126,86,155,157.539,57.940,35.819,94.969,0.825,58.052,196235,123,-0.429,-0.204,196235,219,59,155,100.923,37.000,1.618,0.618,0.963
142,4058,123.337,13.254,131,68,164,242.551,84.965,60.811,88.774,0.867,86.145,500501,125,-0.476,0.901,500501,222,55,144,80.647,60.000,1.397,0.716,0.977
143,1444,120.664,11.743,126,81,152,145.296,51.849,35.460,91.588,0.860,51.971,174239,122,-0.358,-0.144,174239,223,61,154,78.906,35.000,1.462,0.684,0.965
144,7583,123.783,12.507,124,73,168,411.848,164.302,58.764,90.754,0.562,162.521,938647,124,-0.120,0.507,938647,224,55,247,85.412,64.296,2.796,0.358,0.903
145,1683,120.612,11.465,127,71,155,167.882,66.878,32.041,91.083,0.750,65.376,202990,122,-0.668,1.162,202990,226,59,122,96.147,33.000,2.087,0.479,0.951
146,1879,120.920,13.676,131,80,158,166.610,60.409,39.603,88.377,0.851,60.828,227208,121,-0.187,-0.513,227208,228,55,87,80.538,40.000,1.525,0.656,0.968
147,2040,123.325,13.359,129,62,155,187.095,72.674,35.741,92.552,0.732,74.169,251584,126,-1.092,1.660,251584,229,61,89,93.865,36.995,2.033,0.492,0.956
148,1140,111.651,18.261,118,52,170,128.953,41.115,35.304,92.720,0.861,43.738,127282.000,113,-0.045,0.504,127282.000,230,56,162,100.539,35.654,1.165,0.859,0.951
149,2938,122.042,15.285,123,56,182,223.865,76.263,49.051,85.515,0.737,82.152,358558,123,-0.223,1.435,358558,233,59,17,93.489,53.542,1.555,0.643,0.923
150,1629,121.361,13.112,125,82,160,163.296,64.007,32.405,89.784,0.768,63.789,197697,123,-0.320,-0.158,197697,235,58,105,80.981,31.000,1.975,0.506,0.968
151,1628,120.408,11.806,125,77,151,155.924,51.880,39.954,92.593,0.841,53.600,196024,123,-0.785,0.679,196024,236,59,187,98.584,40.674,1.299,0.770,0.957
152,1640,123.089,11.636,127,87,156,154.267,51.543,40.512,92.216,0.866,53.151,201866,125,-0.634,0.358,201866,237,61,18,94.316,41.231,1.272,0.786,0.959
153,1645,116.175,16.172,122,68,161,152.610,53.020,39.504,89.958,0.888,54.037,191108,119,-0.519,0.004,191108,238,65,123,92.121,39.000,1.342,0.745,0.968
154,2032,121.683,10.998,122,81,151,181.439,68.415,37.816,90.851,0.776,68.264,247259,123,-0.559,0.087,247259,239,60,154,95.042,39.000,1.809,0.553,0.963
155,2085,120.285,14.889,127,67,164,176.024,64.710,41.024,89.189,0.846,65.490,250795,123,-0.620,0.472,250795,241,61,141,82.983,40.000,1.577,0.634,0.970
156,1779,120.106,11.240,129,75,149,171.196,67.068,33.773,90.872,0.763,67.268,213669,122,-0.822,0.764,213669,242,59,230,84.883,33.657,1.986,0.504,0.958
157,2294,120.297,13.522,127,72,160,183.924,64.394,45.359,90.230,0.852,65.924,275962,122,-0.502,0.132,275962,244,56,196,80.395,45.788,1.420,0.704,0.967
158,2226,115.805,16.829,120,63,165,178.752,59.969,47.261,94.335,0.875,61.033,257782,117,-0.202,-0.066,257782,246,61,166,108.138,48.000,1.269,0.788,0.968
159,2130,119.848,12.946,121,71,156,181.439,68.193,39.769,90.306,0.813,68.469,255276,122,-0.775,1.056,255276,248,58,224,83.290,40.000,1.715,0.583,0.969
160,1571,118.125,15.522,123,70,168,148.368,50.659,39.485,91.126,0.897,51.478,185574,121,-0.400,0.278,185574,251,62,55,97.815,39.000,1.283,0.779,0.969
161,2503,124.809,10.426,132,84,156,193.924,70.585,45.150,87.861,0.836,70.859,312396,126,-0.357,-0.032,312396,252,53,98,81.069,46.000,1.563,0.640,0.971
162,1899,122.050,12.297,125,56,157,164.510,55.696,43.412,91.742,0.882,57.315,231773,124,-0.803,1.488,231773,254,61,91,83.991,44.000,1.283,0.779,0.965
163,1609,121.781,12.978,121,71,157,158.024,57.409,35.685,97.005,0.810,58.856,195946,123,-0.778,0.803,195946,256,57,35,99.782,36.000,1.609,0.622,0.957
164,1502,115.846,15.316,115,61,156,147.782,51.342,37.248,93.170,0.864,52.773,174000,118,-0.457,0.250,174000,256,57,144,99.819,37.000,1.378,0.725,0.963
165,3365,122.128,11.585,125,79,156,270.652,113.764,37.661,90.842,0.577,113.040,410960,124,-0.605,0.659,410960,258,63,104,91.521,39.000,3.021,0.331,0.957
166,1847,120.244,13.453,125,75,163,166.510,58.877,39.942,89.489,0.837,61.400,222090,123,-0.759,0.781,222090,260,64,100,96.546,41.000,1.474,0.678,0.959
167,2206,123.328,11.607,121,75,151,183.095,63.412,44.294,88.705,0.827,63.891,272062,124,-0.800,1.274,272062,261,50,167,72.699,46.000,1.432,0.699,0.965
168,1457,117.520,15.172,118,77,163,149.539,55.932,33.167,89.365,0.819,57.219,171226,118,-0.246,-0.471,171226,264,62,176,95.013,33.000,1.686,0.593,0.965
169,1469,119.954,15.218,116,75,161,150.368,55.919,33.448,89.206,0.816,56.436,176213,121,-0.188,-0.630,176213,265,61,6,97.125,34.000,1.672,0.598,0.961
170,2248,119.854,15.572,126,66,159,191.095,73.560,38.910,89.326,0.774,73.171,269432,122,-0.431,-0.234,269432,266,60,153,86.082,39.000,1.891,0.529,0.961
171,2450,124.054,9.905,129,83,163,192.652,67.008,46.553,90.197,0.830,69.116,303932,125,-0.690,1.188,303932,267,61,74,93.318,48.000,1.439,0.695,0.964
172,3375,120.313,12.876,121,70,173,265.966,111.835,38.424,90.461,0.600,107.168,406055,121,-0.159,0.948,406055,268,61,224,86.791,41.000,2.911,0.344,0.909
173,3535,120.661,14.811,122,63,169,289.179,119.572,37.642,86.557,0.531,113.745,426536,122,-0.501,0.998,426536,270,57,205,83.437,40.825,3.177,0.315,0.874
174,1627,116.948,18.361,120,61,167,161.782,60.819,34.061,89.427,0.781,61.205,190275,118,-0.260,0.037,190275,272,59,64,94.686,36.000,1.786,0.560,0.954
175,1518,119.899,17.015,127,65,162,153.196,57.329,33.714,91.319,0.813,58.138,182007,124,-0.664,0.118,182007,274,65,96,86.055,34.000,1.700,0.588,0.959
176,1744,122.576,11.117,125,80,151,159.782,57.748,38.452,91.582,0.858,57.871,213772,123,-0.308,-0.127,213772,275,62,68,99.951,38.000,1.502,0.666,0.969
177,1854,119.900,14.355,123,72,163,169.196,61.574,38.338,90.764,0.814,62.514,222294,122,-0.411,0.166,222294,276,60,148,82.648,39.000,1.606,0.623,0.962
178,1854,122.162,11.791,120,73,158,162.267,54.028,43.692,87.734,0.885,54.818,226488,123,-0.358,0.454,226488,278,55,105,75.203,44.000,1.237,0.809,0.968
179,1832,118.913,13.026,123,79,151,167.681,60.732,38.408,90.676,0.819,61.294,217849,121,-0.516,-0.136,217849,279,60,157,95.618,39.000,1.581,0.632,0.962
180,1620,120.018,15.964,127,68,165,155.681,53.725,38.393,87.366,0.840,55.579,194429,122,-0.396,-0.068,194429,281,60,69,98.276,39.845,1.399,0.715,0.962
181,1646,119.035,11.220,125,81,150,158.368,60.816,34.460,91.431,0.825,61.294,195932,120,-0.386,0.087,195932,282,64,244,84.382,34.000,1.765,0.567,0.966
182,1664,121.680,11.297,127,81,156,161.196,60.694,34.908,90.950,0.805,60.671,202476,123,-0.396,0.023,202476,283,63,73,81.469,35.000,1.739,0.575,0.965
183,1720,119.441,11.165,122,75,152,166.853,61.851,35.407,92.275,0.776,62.650,205438,121,-0.684,1.015,205438,284,58,246,81.741,37.000,1.747,0.572,0.960
184,1744,122.161,11.254,126,75,156,165.782,61.763,35.952,92.475,0.797,62.394,213049,124,-0.642,1.010,213049,285,59,15,96.442,37.000,1.718,0.582,0.966
185,1889,123.021,11.589,135,88,150,167.782,60.788,39.566,91.023,0.843,60.531,232386,124,-0.190,-0.553,232386,287,59,98,82.405,40.000,1.536,0.651,0.964
186,1344,119.349,11.994,124,84,154,145.539,53.290,32.112,87.440,0.797,54.589,160405,121,-0.284,-0.131,160405,288,58,180,81.573,32.000,1.660,0.603,0.962
187,1931,120.939,12.971,124,74,157,172.267,63.219,38.890,92.271,0.818,64.070,233534,122,-0.345,-0.044,233534,290,65,116,87.316,39.000,1.626,0.615,0.963
188,1827,119.558,14.556,124,67,156,161.196,56.017,41.527,96.236,0.884,56.089,218433,122,-0.644,0.453,218433,291,59,95,101.310,42.000,1.349,0.741,0.971
189,1460,119.912,14.662,126,63,166,157.196,59.464,31.261,90.648,0.742,61.205,175072,122,-0.789,0.855,175072,293,59,45,94.686,33.498,1.902,0.526,0.948
190,2247,119.510,14.004,124,67,161,180.267,64.639,44.261,87.240,0.869,64.777,268540,122,-0.505,0.747,268540,295,58,49,98.881,44.000,1.460,0.685,0.973
191,1604,116.761,14.814,114,70,160,152.368,53.543,38.143,97.966,0.868,54.571,187284,117,-0.049,-0.038,187284,296,60,172,103.782,39.000,1.404,0.712,0.968
192,3105,119.366,15.365,126,52,166,213.238,75.550,52.328,89.225,0.858,76.420,370630,122,-0.541,0.476,370630,298,57,196,83.991,52.000,1.444,0.693,0.972
193,1238,120.106,11.276,127,86,155,132.711,45.799,34.417,93.291,0.883,46.390,148691,121,-0.467,-0.192,148691,299,60,90,97.431,35.000,1.331,0.751,0.959
194,1829,121.147,11.388,122,80,159,184.368,73.339,31.753,91.819,0.676,72.691,221577,122,-0.496,0.544,221577,300,60,125,97.907,34.000,2.310,0.433,0.935
195,3190,122.887,9.899,126,89,155,257.380,103.082,39.402,90.996,0.605,107.168,392010,123,-0.144,0.086,392010,302,60,220,86.791,42.000,2.616,0.382,0.931
196,1729,117.693,12.698,124,71,148,158.024,55.501,39.665,86.824,0.870,56.569,203492,120,-0.697,0.183,203492,303,59,230,81.870,40.000,1.399,0.715,0.965
197,1763,120.319,13.033,125,69,158,158.610,55.849,40.192,86.814,0.881,57.070,212122,122,-0.582,0.322,212122,304,55,62,78.887,40.000,1.390,0.720,0.970
198,1372,120.727,13.826,127,53,159,144.368,52.990,32.966,92.439,0.827,54.332,165637,122,-0.872,1.484,165637,305,65,120,96.340,33.000,1.607,0.622,0.960
199,1929,116.890,16.534,120,58,160,168.953,62.269,39.443,93.774,0.849,61.984,225480,119,-0.408,0.110,225480,306,59,112,100.222,39.000,1.579,0.633,0.972
200,1538,114.953,15.953,120,51,158,145.782,47.960,40.831,92.390,0.909,49.031,176797,118,-0.631,0.657,176797,307,61,119,101.768,41.000,1.175,0.851,0.968
201,1684,120.941,13.796,125,70,160,159.196,56.691,37.821,93.536,0.835,57.489,203664,123,-0.722,0.635,203664,309,56,41,103.069,39.000,1.499,0.667,0.964
202,1824,120.266,12.574,129,70,157,170.024,65.492,35.461,86.491,0.793,66.483,219365,122,-0.557,0.141,219365,310,59,194,83.089,35.377,1.847,0.541,0.964
203,2384,117.187,14.976,122,46,166,184.752,62.193,48.806,88.975,0.878,63.348,279373,119,-0.625,1.115,279373,312,55,180,78.158,49.000,1.274,0.785,0.971
204,2139,123.282,11.767,126,78,158,190.752,71.972,37.841,89.503,0.739,73.246,263701,124,-0.382,0.179,263701,314,62,160,85.301,39.000,1.902,0.526,0.953
205,2279,119.342,12.645,120,75,153,188.267,71.193,40.758,91.938,0.808,70.711,271981,120,-0.465,0.468,271981,315,59,138,98.130,40.996,1.747,0.572,0.962
206,2200,123.114,11.766,130,63,156,198.167,78.377,35.739,89.859,0.704,79.228,270850,125,-0.862,1.395,270850,317,61,206,85.657,37.000,2.193,0.456,0.963
207,2501,121.417,12.268,126,70,159,207.581,80.781,39.420,89.431,0.729,82.298,303665,123,-0.622,0.315,303665,318,62,142,85.121,40.000,2.049,0.488,0.965
208,2393,118.569,16.765,119,39,180,189.338,67.591,45.078,91.121,0.839,67.476,283735,119,-0.157,0.938,283735,319,57,233,83.191,45.000,1.499,0.667,0.970
209,1517,118.975,13.224,126,73,151,148.125,49.684,38.876,80.595,0.869,50.010,180485,121,-0.805,0.904,180485,321,63,226,78.465,39.182,1.278,0.782,0.958
210,1531,121.700,13.058,125,69,156,148.711,50.006,38.982,82.237,0.870,50.596,186322,124,-0.822,1.112,186322,322,58,55,71.565,38.708,1.283,0.780,0.959
211,1663,118.461,12.701,118,81,151,163.196,62.751,33.743,89.251,0.785,63.388,197001,119,-0.294,-0.152,197001,323,56,165,83.660,34.000,1.860,0.538,0.961
212,1825,120.517,12.386,126,75,162,166.024,59.349,39.152,86.931,0.832,60.531,219943,123,-0.583,0.494,219943,324,59,69,97.595,40.000,1.516,0.660,0.959
213,1609,119.495,11.850,119,80,151,155.196,54.492,37.595,90.833,0.839,55.902,192267,121,-0.537,0.271,192267,325,59,109,100.305,38.000,1.449,0.690,0.962
214,1872,118.951,15.614,127,56,161,171.296,66.316,35.941,91.622,0.802,65.376,222676,122,-1.001,1.011,222676,326,59,83,96.147,35.000,1.845,0.542,0.970
215,1817,123.622,12.416,127,57,162,170.267,62.689,36.904,88.582,0.788,65.192,224621,125,-0.662,1.177,224621,327,61,135,85.601,37.000,1.699,0.589,0.952
216,1400,117.596,15.906,120,56,155,144.610,49.894,35.726,90.253,0.841,52.469,164635,120,-0.731,0.538,164635,328,63,131,97.667,37.000,1.397,0.716,0.959
217,1334,116.195,14.746,124,67,160,140.368,48.482,35.034,95.116,0.851,50.804,155004,120,-0.745,0.328,155004,329,59,155,100.204,36.000,1.384,0.723,0.957
218,1753,119.804,13.079,127,71,161,167.095,63.324,35.247,90.536,0.789,65.276,210017,122,-0.639,0.683,210017,331,63,152,95.274,36.000,1.797,0.557,0.966
219,1471,121.040,14.642,127,78,164,147.782,48.111,38.929,95.493,0.846,51.196,178050,123,-0.453,0.055,178050,334,63,38,102.407,40.000,1.236,0.809,0.959
220,1572,118.814,14.996,126,63,156,156.024,56.533,35.404,93.638,0.811,57.428,186775,123,-1.092,0.893,186775,335,64,174,97.001,36.796,1.597,0.626,0.956
221,1968,121.712,10.381,128,85,149,176.510,67.179,37.299,89.321,0.794,69.065,239529,123,-0.485,0.054,239529,337,62,154,87.510,38.000,1.801,0.555,0.963
222,3183,123.359,11.252,126,68,161,221.238,81.328,49.832,90.195,0.817,81.302,392652,124,-0.497,0.477,392652,339,59,113,85.061,50.000,1.632,0.613,0.972
223,1620,118.888,12.204,118,78,159,154.711,56.023,36.818,88.723,0.851,56.223,192598,120,-0.356,-0.017,192598,340,60,207,84.898,36.000,1.522,0.657,0.968
224,1580,121.605,14.269,126,72,153,152.953,53.741,37.434,92.162,0.849,54.342,192136,124,-0.629,0.189,192136,342,60,77,102.758,38.000,1.436,0.697,0.961
225,2046,121.830,12.530,126,82,155,181.681,66.680,39.068,93.846,0.779,67.186,249264,123,-0.309,-0.097,249264,343,64,78,94.268,39.702,1.707,0.586,0.961
226,2073,119.530,12.723,120,72,166,171.095,58.727,44.944,92.261,0.890,59.682,247786,120,-0.370,0.541,247786,344,60,213,81.327,45.000,1.307,0.765,0.971
227,1959,118.765,14.137,129,75,157,170.853,62.317,40.026,87.430,0.843,62.514,232660,120,-0.211,-0.411,232660,346,63,155,97.352,40.000,1.557,0.642,0.969
228,1578,118.800,12.287,126,79,159,155.539,57.665,34.842,91.707,0.820,58.138,187467,121,-0.581,0.007,187467,348,59,162,93.945,35.000,1.655,0.604,0.963
229,2309,116.996,17.002,124,51,165,183.581,61.978,47.435,90.761,0.861,63.789,270144,120,-0.709,0.934,270144,350,59,149,99.019,48.000,1.307,0.765,0.968
230,2349,122.479,11.797,128,84,165,188.853,70.806,42.240,92.273,0.828,70.456,287704,124,-0.277,0.204,287704,352,66,70,96.520,42.000,1.676,0.597,0.969
231,2506,122.475,10.896,125,79,159,191.338,68.820,46.363,90.383,0.860,69.260,306923,123,-0.358,0.210,306923,353,59,91,94.970,46.000,1.484,0.674,0.971
232,1630,122.141,10.280,128,92,167,161.681,59.738,34.742,86.987,0.784,60.299,199090,123,-0.147,0.090,199090,354,57,154,84.289,36.000,1.719,0.582,0.953
