 ,Area,Mean,StdDev,Mode,Min,Max,Perim.,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
213,2130,106.712,14.319,106,62,147,183.439,63.835,42.485,88.841,0.795,65.521,227296,106,0.021,0.015,227296,312,49,103,105.945,42.000,1.503,0.666,0.955
214,3226,107.948,13.199,109,65,149,223.480,80.903,50.771,89.744,0.812,81.744,348241,107,0.240,0.068,348241,313,58,61,97.734,51.560,1.593,0.628,0.967
215,3317,106.566,13.408,107,58,147,224.794,78.864,53.552,90.969,0.825,81.498,353478,106,0.205,0.596,353478,314,54,188,83.660,55.000,1.473,0.679,0.966
216,1992,106.481,12.772,106,69,144,172.024,60.525,41.905,90.651,0.846,61.000,212110,106,0.242,0.141,212110,316,57,116,100.389,42.000,1.444,0.692,0.964
217,3645,106.399,14.257,108,70,153,237.723,85.775,54.106,94.871,0.811,85.907,387823,106,0.445,0.273,387823,317,55,147,102.095,55.912,1.585,0.631,0.967
218,3320,106.170,12.516,107,71,153,228.894,85.386,49.507,91.246,0.796,86.470,352483,105,0.633,0.704,352483,319,60,219,84.026,50.000,1.725,0.580,0.970
219,2244,105.795,13.110,106,63,150,181.439,61.115,46.751,87.881,0.857,62.817,237405,106,0.190,0.778,237405,321,59,241,76.185,47.000,1.307,0.765,0.964
220,2276,107.319,13.331,106,66,146,182.267,61.229,47.329,86.795,0.861,62.626,244259.000,107,0.280,0.597,244259.000,322,53,76,70.408,48.000,1.294,0.773,0.964
221,2151,105.829,13.238,106,67,158,175.095,60.484,45.280,87.135,0.882,60.877,227638,105,0.452,0.617,227638,323,49,195,75.735,45.721,1.336,0.749,0.967
222,2439,106.399,13.567,105,66,143,191.338,68.943,45.043,91.505,0.837,69.116,259508.000,106,0.169,0.068,259508.000,324,60,115,93.318,45.871,1.531,0.653,0.965
223,2753,108.090,12.015,106,71,147,204.066,74.756,46.889,91.120,0.831,76.322,297573,108,0.272,0.370,297573,326,55,104,84.738,48.000,1.594,0.627,0.968
224,2319,107.166,14.669,105,52,149,187.581,67.175,43.954,88.143,0.828,68.593,248518,107,-0.077,0.691,248518,327,53,158,82.461,45.000,1.528,0.654,0.958
225,2984,105.763,11.876,108,72,145,209.823,74.635,50.906,87.913,0.852,75.186,315596,105,0.445,0.660,315596,328,54,148,103.851,51.000,1.466,0.682,0.971
226,2318,105.700,14.003,106,63,151,188.167,66.271,44.535,88.839,0.823,67.082,245013,105,0.191,0.151,245013,330,52,179,79.695,44.394,1.488,0.672,0.957
227,1632,105.303,13.993,105,69,145,153.196,49.770,41.750,93.320,0.874,51.923,171855,104,0.391,0.165,171855,331,49,175,105.642,42.000,1.192,0.839,0.960
228,2426,107.730,13.250,107,68,149,191.581,67.595,45.697,89.918,0.831,68.469,261352,106,0.442,0.083,261352,333,57,75,96.710,47.460,1.479,0.676,0.963
229,2161,107.726,13.864,108,67,146,183.480,58.328,47.172,83.261,0.807,62.362,232796.000,108,0.126,-0.203,232796.000,335,47,113,74.181,47.670,1.236,0.809,0.939
230,2573,107.490,15.057,104,59,147,198.309,69.731,46.981,90.785,0.822,71.176,276572,106,0.292,-0.067,276572,337,60,31,94.028,48.662,1.484,0.674,0.963
231,2375,105.989,14.827,104,63,149,186.995,65.312,46.300,91.023,0.854,66.370,251724,105,0.302,0.014,251724,338,58,166,96.054,47.000,1.411,0.709,0.966
232,2406,106.746,15.926,104,57,150,187.095,63.922,47.924,94.270,0.864,64.846,256832,105,0.219,-0.083,256832,344,57,89,107.038,48.000,1.334,0.750,0.966
233,3075,106.690,15.115,110,53,156,213.380,72.654,53.888,85.162,0.849,75.432,328071,106,-0.038,0.439,328071,345,50,192,75.411,55.000,1.348,0.742,0.965
234,2887,106.115,14.371,103,58,151,223.037,76.030,48.347,91.940,0.729,81.099,306354,105,0.102,-0.002,306354,347,59,145,92.827,52.000,1.573,0.636,0.941
235,1819,105.230,14.305,106,54,146,163.439,56.233,41.186,91.943,0.856,57.559,191413,104,0.497,0.064,191413,349,55,193,97.989,42.000,1.365,0.732,0.961
236,1846,106.845,14.598,106,71,148,163.196,56.371,41.695,91.387,0.871,57.280,197235,105,0.555,-0.022,197235,350,51,83,73.780,42.000,1.352,0.740,0.968
237,2296,106.733,14.438,102,72,151,183.338,65.363,44.725,89.484,0.858,66.098,245059.000,105,0.596,0.127,245059.000,351,54,154,79.540,45.000,1.461,0.684,0.968
238,2456,106.187,15.762,104,60,151,191.581,66.090,47.315,93.879,0.841,67.082,260795,105,0.337,0.091,260795,352,55,116,100.305,48.000,1.397,0.716,0.964
239,3917,108.442,11.471,106,70,149,242.794,87.947,56.708,89.741,0.835,89.275,424767,108,0.491,1.056,424767,354,55,130,85.503,57.000,1.551,0.645,0.972
240,3320,107.431,12.654,110,64,147,225.137,82.041,51.525,90.571,0.823,82.608,356672,107,0.364,0.702,356672,355,57,84,96.953,52.690,1.592,0.628,0.969
241,3039,107.546,13.861,106,55,156,223.581,82.021,47.176,90.884,0.764,82.462,326832,107,0.179,0.538,326832,356,46,140,75.964,48.000,1.739,0.575,0.961
242,2911,106.831,11.416,106,66,145,208.652,74.255,49.915,93.075,0.840,75.538,310986,107,0.150,0.765,310986,357,56,175,83.157,50.730,1.488,0.672,0.969
243,2038,105.879,13.695,104,56,149,173.681,61.695,42.060,89.527,0.849,62.801,215782,106,0.299,0.408,215782,359,55,250,80.838,43.000,1.467,0.682,0.964
244,2030,106.964,13.486,106,62,149,172.510,60.939,42.414,89.434,0.857,62.370,217137,106,0.402,0.446,217137,360,52,86,77.969,43.000,1.437,0.696,0.967
245,3016,107.229,12.598,110,59,147,220.652,76.237,50.370,91.322,0.778,78.447,323403,108,-0.016,0.153,323403,361,52,96,107.049,51.000,1.514,0.661,0.954
246,2581,106.389,12.080,108,61,145,197.581,71.524,45.946,91.342,0.831,72.691,274589,106,0.141,0.841,274589,362,56,195,82.093,46.000,1.557,0.642,0.965
247,2030,107.412,17.496,107,49,153,197.823,77.074,33.535,90.520,0.652,76.792,218046,107,-0.063,-0.407,218046,364,54,13,98.236,38.000,2.298,0.435,0.904
